question,response
Has the NBU established limits on the remittance of money outside of Ukraine by residents?,"A transfer below UAH 400,000.00/day (or the equivalent) may be sent from Ukraine without opening a current account and/or presenting supporting documents.If a transfer amount exceeds UAH 400,000.00/day (or the equivalent), the transfer may be performed only from the client’s current account in a foreign currency based on the required supporting documents."
How can I change the PIN code on the card?,The holder can change the PIN code in an ATM of Pivdenny Bank.
How can I check on the status of my application?,Information about the status of your application can be obtained from the manager corporate business.
How can I check on the status of my loan application?,Information about the status of your application can be obtained from the manager corporate business.
How can I check on the status of my loan application?,Information about the status of your application can be obtained from the manager of SME projects.
How can I extend the term of repayment of the credit limit for my credit card?,"fill out an online application;
complete the remote application after visiting a bank branch or calling the Contact centre of the bank at: (0482) 30 70 30 or 0 800 30 70 30;
Visit any branch of Pivdenny Bank."
How can I increase the cash withdrawal limit on the card when travelling abroad?,"A cardholder can temporarily adjust an individual limit by calling the bank’s contact centre at: (0482) 30 70 30 or 0 800 30 70 30, and following the appropriate identification procedure."
How can I increase the cash withdrawal limit on the card when travelling abroad?,"A cardholder can temporarily adjust an individual limit by calling the bank’s contact centre at: (0482) 30 70 30 or 0 800 30 70 30, and following the appropriate identification procedure."
How can I join the programme?,"The Mastercard Rewards programme is available to cardholders of Mastercard cards issued by Pivdenny Bank (excluding unembossed cards). Cards automatically added to the program, are consolidated into a single bonus account, where all points accumulate. To enter the Mastercard loyalty programme cabinet, customers need to use their login and password for Pivdenny MyBank."
How can I make use of the app during a trip?,"You can use the filter feature to find offers that are valid in the country you are living in. Otherwise, you can click the ""In the immediate vicinity"" button to review the promotions valid near you (your location doesn’t matter)."
How can I obtain a payment card?,"To obtain a payment card, visit any branch or the Head Office of Pivdenny Bank and complete the documents provided by the bank employee.
To receive your card, you will have to provide:

a passport or another ID;
proof of your personal taxpayer ID number;
other documents required by the bank."
How can I pay my utility bills?,"Within the internet banking system, go to ""Bill Payment/Pay a bill/ Utility services"", select the required organisation in the catalogue and perform the payment."
How can I transfer funds to a card issued by another bank?,"Within the internet banking system, go to ""Bill Payment/Pay a bill/Transfer funds to VISA/Mastercard payment card"" and perform the payment."
How can I use the established limit?,The established limit can be used to replenish temporary deficits of working capital.
How do I activate the Client Bank service?,"The ""Client Bank"" service is activated based on a contract concluded between the Bank and the Client as well as processing of the corresponding form which specifies which functions the client wants."
How do I activate the Client Bank service?,The Client Bank service is activated based on an agreement concluded between the bank and the client as well as a corresponding application which specifies all necessary client functions.
How do I apply for a loan?,"- fill out an online application;
- visit any Pivdenny Bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and husband/wife);
taxpayer ID number (ID number of the borrower and husband/wife);
marriage/divorce certificate (if any).

Additional documents necessary for certain client categories:

pension certificate;
current and any previous contracts with the employer for the past 3 - 12 months depending on the validity term of the current contract, but no more than for the past 12 months – for ""IT-specialist, freelancer” category.

The details of the terms and conditions of the loan agreement are set forth in the “Documents” section."
How do I apply for a loan?,"- fill out an online application;
- visit any bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and husband/wife);
taxpayer ID number (ID number of the borrower and husband/wife);
marriage/divorce certificate (if any);
documents proving receipt of income (by the borrower and husband/wife);
collateral documents.

Details of the terms and conditions of the loan agreement are set forth in the “Documents” section."
How do I apply for a loan?,"- fill out an online application;
- visit any bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and husband/wife);
taxpayer ID number (ID number of the borrower and husband/wife);
marriage/divorce certificate (if any);
documents proving receipt of income (by the borrower and husband/wife);
collateral documents.

For a more detailed list of documents, see section ""Documents""."
How do I apply for a loan?,"- fill out an online application;
- visit any bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and husband/wife/guarantor);
taxpayer ID number (ID number of the borrower and husband/wife/guarantor);
marriage/divorce certificate (if any);
certificate/passport of the sailor and/or sailor's seagoing service record book;
the last signed contract.

Additional documents required for new clients of Pivdenny Bank:

statement of income under contract from an account in a Ukrainian bank during the past 12 months;
for guarantors — a document proving receipt of income.

Details of the terms and conditions of the loan agreement are set forth in the “Documents” section."
How do I apply for a loan?,"- fill out an online application;
- visit any bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and spouse);
taxpayer ID number (ID number of the borrower and spouse);
marriage/divorce certificate (if any);
application/agreement on a bank deposit in any currency made with Pivdenny Bank (the agreement should be current at the moment of execution of the application for the loan);
documents proving receipt of income (by the borrower and spouse);

Details of the terms and conditions of the loan agreement are set forth in the “Documents” section."
How do I apply for a loan?,"- fill out an online application;
- visit any bank branch and provide the following documents:

Ukrainian passport (passport of the borrower and spouse);
taxpayer ID number (ID number of the borrower and spouse);
marriage/divorce certificate (if any);
documents proving receipt of income (by the borrower and spouse);
collateral documents.

For a more detailed list of documents, see section ""Documents""."
How do I apply for a loan?,"— fill out an online application;
— complete the application after visiting a bank branch or calling the Contact centre of the bank at: (0482) 30 70 30 or 0 800 30 70 30;
— visit any branch of the bank with the following documents:

Ukrainian passport;
taxpayer ID number;
marriage/divorce certificate (if any).

Additional documents required for certain client categories:

employers’ statement of income received (salaries paid) for the past 6 months with a break-down by month – for employees of organisations who have received services from Pivdenny Bank for fewer than 3 months;
pensioner’s certificate – for pensioners;
current and any previous contracts with the employer for the past 3-12 months depending on the validity term of the current contract, but no more than for the past 12 months – for the ""IT specialist, freelancer” category.

Details of the terms and conditions of the agreement are set forth in the “Documents” section."
"How do I change my password in ""Client Bank""?","To change the log-on password, select My iFOBS/Personal settings/Change password.

Enter your user password into the Current password field;
Enter a new password into the New password and New password confirmation fields.

Attention! The system requires unique passwords for each user of a given work station throughout operation of the system; the password may only contain upper and lower-case Latin letters, numbers and symbols, including: ! "" # $% & ' ( ) * + , - . / : ; < = > ? @ [ \ ] ^ _ ` { | } ~The system will ignore all other symbols, spaces and Cyrillic symbols."
How do I change my password in Client Bank?,"To change the system entry password, select My iFobs/Personal settings/Change password.

Enter your password into the Current password field.
Enter a new password into the New password and New password confirmation fields.

Attention! The system requires unique passwords for each user of a given PC throughout operation of the system; the password may only contain upper and lower-case Latin letters, numbers and symbols, including: ! "" # $% & ' ( ) * + , - . / : ; < = > ? @ [ \ ] ^ _ ` { | } ~The system rejects all other symbols, spaces and Cyrillic symbols."
How do I change my password?,"Select ""Set/Change password""; in the ""Current password"" field, enter the password that needs to be changed; in the ""New password"" field specify the new password for entry into the system, which you will use thereafter. Confirm the new password and save changes."
How do I find out the amount of the next instalment or balance of the loan?,"We provide an opportunity to review complete information on the status of your accounts online using the Pivdenny MyBank system of remote services for individual bank clients.
You can get information on the amount of the next instalment on the loan:
- personally, at any bank branch;
- via the Contact centre of the bank at (0482) 30 70 30 or 0 800 30 70 30;
 - via Skype from the bank’s page."
How do I find out the balance of payables on a loan?,"This and other information on account status is conveniently available online in the remote system for individual clients of Pivdenny MyBank. In addition, you can obtain information on the estimated loan instalment personally at the branch or by calling the Contact centre at: (0482) 30 70 30 or 0 800 30 70 30 or via Skype."
How do I find out the detailed terms and conditions of the loan agreement and the size of the real interest rate?,"Under Law of Ukraine No. 1734-VIII ""On consumer lending"" dated 15.11.2016, all information on the product (passport to consumer loans) is available in the ""Documents"" section. The above document outlines real interest rates and other mandatory terms and conditions."
How do I find out what late payment charges I will have to pay if I fail to repay my loan on time?,"Information on the estimated late payment penalty on a loan may be obtained personally at the branch, while the terms and conditions of accrual and the amount of the penalty stipulated by the credit programme are specified in the respective consumer loan passport and in your loan agreement."
How do I renew my card?,"To renew a payment card that will soon expire, make an Application on the bank's site or visit any branch or the Head Office of Pivdenny Bank and complete the documents provided by the bank employee.
To receive your card, you will have to provide:

a passport or another ID;
proof of your personal taxpayer ID number."
How do I repay the loan?,"In the internet bank, go to ""My accounts/loans"", select the required loan from the list and press the ""Repay"" button. Enter the required repayment amount and authorise the payment using the code received by SMS message."
How do I repay the loan?,"You can make payments by any means at your convenience:

via Pivdenny MyBank, a system of remote services for individual clients;
by money transfer;
by card-to-account transfer;
personally, at any bank branch.

The priority is to pay instalments in a timely fashion."
How do I repay the loan?,"You can make payments by any means at your convenience:

via the Pivdenny MyBank system of remote services for individual clients;
by money transfer;
by card-to-account transfer;
personally, at any bank branch.

The priority is to pay instalments in a timely fashion."
How do I repay/close a bill?,A bill is deemed closed if documentary evidence exists to confirm its repayment.
How do I replenish my card account?,"You can replenish your card account in any manner convenient to you, including:

by way of fund transfers:
via the Pivdenny MyBank system;
card-to-card transfer;
by money transfer;
at bank branches.

To replenish your card account at a Pivdenny Bank branch, you need to know the number of the card or card account, specified in the account agreement. To do so, you need to have a passport or another ID."
How do I replenish my mobile phone account balance?,"Within internet-banking system, go to ""Bill Payment/Pay a bill/ Mobile operators"", select the necessary organisation in the catalogue and perform the payment."
"How do I transfer cash from/to a ""Saving account""?","Within the internet banking system, go to ""My accounts"", select the required ""Saving account"" in the list of card accounts and press ""Replenish account"" or ""Credit from account"", and enter the necessary amount. Authorise the payment using the code received by SMS message."
How do I update my personal data?,"— code word:To update a code word, visit the nearest bank branch.— surname and name/passport details/registration address/actual residence address:To update information, visit the nearest bank branch.— phone number:To update your phone number, visit the nearest bank branch.— phone number in the Pivdenny MyBank internet banking system:To update the phone number in the Pivdenny MyBank internet banking system, visit the nearest bank branch."
How do I update my phone number in the Pivdenny MyBank internet banking system?,"To update your phone number in the Pivdenny MyBank internet banking system, visit your nearest bank branch."
How fast are POS terminals are connected?,Within 3 business days from the moment of signing the acquiring agreement.
How is my borrowing power evaluated?,"The loan amount (up to UAH 200,000) is assessed based on the client’s category and his/her income."
How is my borrowing power evaluated?,"The loan amount is assessed based on the market (estimated) value of the mortgaged property acquired by the borrower and his/her income, which should be enough to repay the loan while being able to afford basic expenses and must not exceed 70 % of the market value of the mortgaged property."
How is the fee deducted?,The fee is deducted by the bank from the merchant daily from the total amount.
How is the loan amount determined?,Based on the financial position of the borrower and deposit amount.
How is the loan amount determined?,On the financial position of the borrower and deposit amount.
How is the loan amount determined?,"The amount of the loan depends on the borrower’s financial situation, the type and value of collateral, as well as from whom the borrower buys fixed assets (from a bank partner or an external seller)."
How is the loan amount determined?,"The amount of the loan depends on the permissible level of debt, which is determined by the terms of the loan agreement."
How is the loan amount determined?,"The amount of the overdraft limit depends on several parameters:

Type of collateral.
Duration of client relationship with Pivdenny Bank.
Volumes of the average net monthly income from business to the current account in the bank/other banks."
How is the loan amount determined?,"The loan amount depends on the financials of the borrower, the type and value of collateral and other factors."
How is the loan amount determined?,"The loan amount depends on the financials of the borrower, the type and value of collateral and the total cost of the investment project. The maximum possible loan amount is 80% of the total cost of the investment project."
How long after opening a package can I begin to use the products in the package?,On the day the package is opened.
How long does it take to open an escrow account?,The bank opens an escrow account during one business day.
How long does it take to open an escrow account?,The escrow account is opened within one business day.
How long does it take to process payment receipt on the website?,"That depends on the website platform. On average, integration takes 1-2 days."
How long does it take to receive a card?,"According to the internal regulations of the Bank,you will receive your card within 5 business days, once your application is completed and the service fees have been paid. The bank’s employees will do their best to ensure that you receive your card in even less time if possible.
In our Head Office, you can order express card issuance, within 4 business hours. This service is available at an extra charge."
How long does it take to review a loan application?,Up to 5 business days from the time the borrower submits all documents to the bank.
How long does it take to review a loan application?,Up to 7 business days from the moment the documents are submitted to the bank by the borrower.
How long does it take to review a loan application?,Up to 7 business days from the time the borrower submits all documents to the bank.
How many ingots may be exported?,"An individual may export bank metals worth below EUR 10,000 (or the equivalent) outside Ukraine without declaring them (in a written form). If their value is equal to or exceeds EUR 10,000 (or the equivalent), bank metals should be declared."
How many tranches can be opened within the scope of one deposit line?,The number of contributions (tranches) on a single deposit account is unlimited. The accrual of interest on each contribution (tranche) is carried out separately.
How much time does the bank require to decide whether to issue a guarantee?,Up to 5 working days from the time the full package of documents is submitted by the client.
How often can I increase my deposit?,This option is not available.
How often can I replenish my deposit?,This option is not available.
How quickly can a package be opened?,A package is opened within one business day.
How quickly will the account be opened?,The bank opens the account within one working day.
How soon will a transfer reach the recipient?,"The speed of the transfer to the recipient depends on the selected payment system. For example, Western Union, Ria and Welsend systems process pay-outs of transfers upon receipt by the sender of a control number (on average) in 5-30 minutes. On sending of a transfer via MoneyGram, the money is accessible for receipt within several minutes, and the MONEGO system ensures instant crediting of the funds to the payment card. In the case of S.W.I.F.T., the time frame for money delivery may be up to 5 working days."
How soon will the account be opened?,The bank opens a current account during one business day.
"If my card expires, how can I order a new one?","Visit the branch that serves you, present your passport and IDN, to fill out an application form for a new card in the month of the year indicated on the front of your corporate card."
In what regions is the cash collection available?,"Cash collection service is accessible in 25 Ukrainian regions. Cash collection units are represented in cities such as: Kyiv, Odessa, Kherson, Mykolaiv and Dnipro."
In which regions is the cash collection service available?,"Cash collection is available in 25 regions of Ukraine. Cash collection units are represented in cities such as: Kyiv, Odesa, Kherson, Mykolaiv and Dnipro."
Is Pivdenny Bank a member of the Individual Deposit Guarantee Fund?,"Pivdenny Bank is a participant in the Individual Deposit Guarantee Fund of Ukraine (certificate No. 016 dated 16.10.2012). The Fund guarantees reimbursement of individual deposits in full, which, however, is capped at the amount of UAH 200,000 (resolution of the Administrative Board of the Individual Deposit Guarantee Fund Resolution No. 27 dated 21.08.2012."
Is an adapted repayment schedule possible and for what period?,Yes. The client is given the opportunity to make a minimum of 3 payments per year on the loan principal. The payment period is chosen by the client.
Is it possible to cancel a card-to-card transfer?,"Unfortunately, there is no such possibility.
Before confirming the transfer, you must carefully check that the specified card number of the recipient is correct."
Is it possible to conclude a deposit agreement without opening a current account?,Yes.
Is it possible to conclude the deposit agreement without opening a current account?,This deposit requires the opening of a current account.
Is it possible to conclude the deposit agreement without opening a current account?,Yes.
Is it possible to connect online acquiring without opening a current account in your bank?,Opening a current account with Pivdenny Bank is not required under this service. But it is recommended to expand service opportunities and develop your business.
Is it possible to connect several FDs to one terminal?,"Yes. Several FDs can be connected to one terminal. For this purpose, each FD needs to conclude an acquiring agreement with the bank."
Is it possible to issue a notarised power of attorney to manage an escrow account?,"It is possible, and should be properly issued taking into account the specifics of the escrow account."
Is it possible to make agreements with non-residents on an escrow account?,No. The only permitted legal status of the client is “resident of Ukraine”.
Is it possible to make multiple deposit agreements in different currencies at one time?,"Yes, by signing the respective deposit agreements."
Is it possible to replenish a deposit when in another country?,A deposit may be increased via the Pivdenny MyBank system from anywhere.
Is it possible to ship coins to another city?,Please contact the bank’s support services to discuss the possibility and terms of shipping.
Is it possible to switch to another package?,"Yes, it is possible to switch to another package."
Is the interest on a deposit taxable?,"Yes, the interest earned on a deposit is subject to tax irrespective of the amount and currency of the deposit: already since 2016 interest is taxed at 18 % plus military duty of 1.5 %.
Note that it is the interest and not the principal that is subject to taxation."
My card was forfeited by an ATM of Pivdenny Bank. What do I do next?,"In case of forfeiture of the card:

block your card temporary via Pivdenny MyBank system or call the Customer Support Center of the bank at 0 800 30 70 30 (free of charge all over Ukraine) to block the card by way of its putting on the STOP-list. After receiving the cardholder’s request by phone, the card will be blocked by putting it on the electronic STOP list. Once the card is blocked, no transactions will be allowed using the card;
visit a bank branch and complete an application for issuance of the card or file an application for issue of the card forfeited by the ATM via the Pivdenny MyBank system - Personal cabinet in the section ""Application for services"". If required, re-issue the card by making such a request at a bank branch.

The card will be returned to the holder after the regular receipt of funds from the ATM."
My card was forfeited by another bank’s ATM. What do I do next?,"If your card was forfeited by another bank’s ATM, visit a branch of Pivdenny bank and obtain a statement that your bank has no objections to the return of your card. Provide this statement at a branch or the head office of the forfeiting bank."
Should a plastic box with a coin be opened?,"No. There is a risk of leaving fingerprints and dust particles on the glazed surface of the coin, which leads to deterioration of the coin’s appearance."
What are the deadlines for salary payment to employees?,"In line with the salary project agreement, but no later than the next business day from the time the organisation transfers the funds (subject to the availability of funds on the account)."
What are the device requirements to operate Google Pay?,"Google Pay can be used on smartphones starting from the Android 4.4 version, which support NFC technology, without unlocked root access.
Google Pay is also accessible on models of smartwatches that support the contactless NFC-payment feature."
What are the device requirements to operate Tap For Pay?,Tap For Pay is accessible for smartphones with Android 4.4 or an older version supporting NFC technology without unlocked root-access.
What are the reasons for a failed transfer?,"Insufficient funds on your card;
Expired card;
The authorisation request is forbidden by the payment gate.It is likely that your card does not have CVC2/CVV2 code verification. Contact your issuing bank. You will be able to enable CVV2/CVC2 code verification. The help desk phone is usually indicated on the back of the card.
The transaction is not authorised by the issuing bank.

This message indicates that the bank that issued the card declined the transfer. This is most often due to card restrictions related to online transactions. To resolve this issue, contact the bank that issued your card and set the required payment limit.
There may also be a restriction imposed by the issuer in compliance with legal requirements, for example, the card for replenishment may not be a card opened in a foreign currency."
What are the requirements for the website by the bank?,"The website must contain all of the necessary content 
Indication of the company's full contact information – legal and correspondence address, phone, e-mail. Detailed description of the list of services provided, terms of delivery and payment.
The goods and services provided by the organisation must not contradict the law and ethic norms. A detailed description of the offered goods and services should be posted on the seller's website. Price, product/service characteristics, equipment and warranty conditions must be specified.
The buyer must be able to read the terms and conditions of return or service cancellation.
The website must include a page explaining the policy of non-disclosure and protection of personal information of the client.
The request for card details must be made after switching to the payment service (if the website does not have a PCI DSS certificate).
According to the rules of the international payment systems Visa and MasterCard, it is necessary that their logos be placed on the main page of the website. The logo placement indicates that it is possible to make a payment using bank cards. This increases customer loyalty and improves website conversion. In addition, a separate section of the website should contain payment instructions, which explains to the buyer the non-cash payment procedure in the store."
What are the terms of crediting funds to the current account?,The transaction is processed on the next banking day following close of business. Detailed conditions are specified in the Internet acquiring agreement.
What are the time frames for gift delivery?,"The term of delivery depends on the gift selected.
Tangible gifts are delivered by mail or courier within 14 days.
For instant gifts, you will receive a message with the relevant electronic certificate number. In exceptional cases, delivery may take up to 2 business days."
What are the time frames for review of the loan application?,Up to 20 business days from the time the borrower submits all documents to the bank.
What are the time frames for review of the loan application?,Up to 3 working days from the moment the documents are submitted to the bank by the borrower.
What are the time frames for review of the loan application?,Up to 7 business days from the time the borrower submits all documents to the bank.
What are the time frames of review of the loan application?,Up to 7 working days from the moment of submission by the potential borrower of full documents package for unsecured overdraft and up to 14 working days for secured financing.
What are the variants of the repayment schedule?,The interest is paid on a monthly basis. According to the signed overdraft agreement Repayment after every 30 days is the most common schedule.
What can be collateral for a loan?,"The collateral may be any immovable/movable property and acquired current assets, as an additional pledge."
What can be used as collateral to secure the loan?,1. Immovable/movable property.2. Property rights to funds placed on a deposit account in Pivdenny Bank.3. Guarantee from a solvent legal entity.4. Guarantee from beneficiary owners.
